Timestamp,Month,Season,Station_ID,Station_Name,Lat,Lon,Dist_from_Source_km,Decay_Factor,Turbidity_NTU
2025-07-15T00:00:00,Jul,Monsoon,KR-01,Amaravati_Upstream,16.573,80.356,29.862,0.0917,5
2025-07-15T04:00:00,Jul,Monsoon,KR-01,Amaravati_Upstream,16.573,80.356,29.862,0.0917,5
2025-07-15T08:00:00,Jul,Monsoon,KR-01,Amaravati_Upstream,16.573,80.356,29.862,0.0917,5.17
2025-07-15T12:00:00,Jul,Monsoon,KR-01,Amaravati_Upstream,16.573,80.356,29.862,0.0917,34.19
2025-07-15T16:00:00,Jul,Monsoon,KR-01,Amaravati_Upstream,16.573,80.356,29.862,0.0917,44.23
2025-07-15T20:00:00,Jul,Monsoon,KR-01,Amaravati_Upstream,16.573,80.356,29.862,0.0917,5
2025-07-15T00:00:00,Jul,Monsoon,KR-02,Industrial_Zone,16.5193,80.6305,0.0,1.0,293.6
2025-07-15T04:00:00,Jul,Monsoon,KR-02,Industrial_Zone,16.5193,80.6305,0.0,1.0,190.97
2025-07-15T08:00:00,Jul,Monsoon,KR-02,Industrial_Zone,16.5193,80.6305,0.0,1.0,118.95
2025-07-15T12:00:00,Jul,Monsoon,KR-02,Industrial_Zone,16.5193,80.6305,0.0,1.0,49.17
2025-07-15T16:00:00,Jul,Monsoon,KR-02,Industrial_Zone,16.5193,80.6305,0.0,1.0,161.46
2025-07-15T20:00:00,Jul,Monsoon,KR-02,Industrial_Zone,16.5193,80.6305,0.0,1.0,263.61
2025-07-15T00:00:00,Jul,Monsoon,KR-03,Vijayawada_Mid,16.51,80.62,1.524,0.8852,176.76
2025-07-15T04:00:00,Jul,Monsoon,KR-03,Vijayawada_Mid,16.51,80.62,1.524,0.8852,272.17
2025-07-15T08:00:00,Jul,Monsoon,KR-03,Vijayawada_Mid,16.51,80.62,1.524,0.8852,68.59
2025-07-15T12:00:00,Jul,Monsoon,KR-03,Vijayawada_Mid,16.51,80.62,1.524,0.8852,339.58
2025-07-15T16:00:00,Jul,Monsoon,KR-03,Vijayawada_Mid,16.51,80.62,1.524,0.8852,143.37
2025-07-15T20:00:00,Jul,Monsoon,KR-03,Vijayawada_Mid,16.51,80.62,1.524,0.8852,125.78
2025-07-15T00:00:00,Jul,Monsoon,KR-04,Gannavaram_Downstream,16.543,80.798,18.049,0.236,11.9
2025-07-15T04:00:00,Jul,Monsoon,KR-04,Gannavaram_Downstream,16.543,80.798,18.049,0.236,16.85
2025-07-15T08:00:00,Jul,Monsoon,KR-04,Gannavaram_Downstream,16.543,80.798,18.049,0.236,5
2025-07-15T12:00:00,Jul,Monsoon,KR-04,Gannavaram_Downstream,16.543,80.798,18.049,0.236,42.53
2025-07-15T16:00:00,Jul,Monsoon,KR-04,Gannavaram_Downstream,16.543,80.798,18.049,0.236,94.12
2025-07-15T20:00:00,Jul,Monsoon,KR-04,Gannavaram_Downstream,16.543,80.798,18.049,0.236,69.47
2025-07-15T00:00:00,Jul,Monsoon,KR-05,Krishna_Delta_Entry,16.12,81.08,65.363,0.0054,71.77
2025-07-15T04:00:00,Jul,Monsoon,KR-05,Krishna_Delta_Entry,16.12,81.08,65.363,0.0054,79.0
2025-07-15T08:00:00,Jul,Monsoon,KR-05,Krishna_Delta_Entry,16.12,81.08,65.363,0.0054,18.67
2025-07-15T12:00:00,Jul,Monsoon,KR-05,Krishna_Delta_Entry,16.12,81.08,65.363,0.0054,5
2025-07-15T16:00:00,Jul,Monsoon,KR-05,Krishna_Delta_Entry,16.12,81.08,65.363,0.0054,5
2025-07-15T20:00:00,Jul,Monsoon,KR-05,Krishna_Delta_Entry,16.12,81.08,65.363,0.0054,20.87
