Lat,Lon,Predicted_NTU,Flow_U,Flow_V,Risk_Level,Source
16.570053,80.502525,492.81183,189320.19,-219850.97,High,Agricultural Runoff
16.570053,80.50421,420.79742,-34379.33,-165217.31,High,Agricultural Runoff
16.570053,80.50927,437.1825,-130952.34,-147341.95,High,Agricultural Runoff
16.570053,80.51096,537.56226,87724.26,-211537.45,Critical,Agricultural Runoff
16.570053,80.51265,629.685,-9859.197,-223920.75,Critical,Agricultural Runoff
16.570053,80.514336,610.2163,197305.42,-181284.28,Critical,Agricultural Runoff
16.570053,80.51602,506.2318,94025.54,-118685.12,Critical,Agricultural Runoff
16.570053,80.51771,483.72238,-24837.018,-110196.305,High,Agricultural Runoff
16.570053,80.519394,485.07593,106915.5,-118943.27,High,Agricultural Runoff
16.570053,80.52109,536.5434,69519.15,-140899.66,Critical,Agricultural Runoff
16.570053,80.52277,544.71515,-55566.7,-138620.03,Critical,Agricultural Runoff
16.570053,80.52446,501.03516,74166.734,-108671.7,Critical,Agricultural Runoff
16.570053,80.526146,567.9804,-89546.88,-135161.17,Critical,Agricultural Runoff
16.570053,80.52783,628.056,-182587.55,-208879.66,Critical,Agricultural Runoff
16.568436,80.50083,397.29495,158668.73,-13072.95,High,Agricultural Runoff
16.568436,80.502525,397.4932,106176.88,-30719.56,High,Agricultural Runoff
16.568436,80.50421,372.01132,99992.76,58961.848,High,Agricultural Runoff
16.568436,80.5059,493.03632,137429.4,-56684.895,High,Agricultural Runoff
16.568436,80.50758,588.30554,165395.38,35039.17,Critical,Agricultural Runoff
16.568436,80.50927,614.4,158170.7,70569.47,Critical,Agricultural Runoff
16.568436,80.51096,587.07935,141012.16,153813.16,Critical,Agricultural Runoff
16.568436,80.51265,630.1113,166344.72,174436.25,Critical,Agricultural Runoff
16.568436,80.514336,610.693,156070.75,161973.12,Critical,Agricultural Runoff
16.568436,80.51602,547.6106,134070.78,121937.98,Critical,Agricultural Runoff
16.568436,80.51771,516.1002,137693.08,68019.73,Critical,Agricultural Runoff
16.568436,80.519394,498.39255,129354.82,-111858.914,High,Agricultural Runoff
16.568436,80.52109,522.505,129186.39,-120514.89,Critical,Agricultural Runoff
16.568436,80.52277,531.7989,125017.875,-116291.98,Critical,Agricultural Runoff
16.568436,80.52446,536.05945,129607.32,-27678.043,Critical,Agricultural Runoff
16.568436,80.526146,564.7273,134946.33,33338.156,Critical,Agricultural Runoff
16.568436,80.52783,573.8469,146403.56,47634.523,Critical,Agricultural Runoff
16.568436,80.529526,582.64075,-174616.67,-182382.45,Critical,Agricultural Runoff
16.566818,80.475525,361.149,125184.64,-8216.75,High,Agricultural Runoff
16.566818,80.49746,429.1297,94715.555,-258445.12,High,Agricultural Runoff
16.566818,80.499146,381.28168,33121.457,-189878.06,High,Agricultural Runoff
16.566818,80.50083,525.25525,148835.47,62506.785,Critical,Agricultural Runoff
16.566818,80.502525,585.01917,161863.03,146495.36,Critical,Agricultural Runoff
16.566818,80.50421,377.34412,96810.34,78579.03,High,Agricultural Runoff
